name,id
Amsterdam,5
Willemstad,33
Tirana,34
Alger,35
Fagatogo,54
Andorra la Vella,55
Luanda,56
Saint Johnds,63
Abu Dhabi,65
Buenos Aires,69
Canberra,135
Baku,144
Nassau,148
al-Manama,149
Dhaka,150
Bridgetown,174
Bruxelles [Brussel],179
Belmopan,185
Porto-Novo,187
Hamilton,191
Thimphu,192
La Paz,194
Sarajevo,201
Gaborone,204
London,456
Road Town,537
Bandar Seri Begawan,538
Sofija,539
Ouagadougou,549
Bujumbura,552
George Town,553
Santiago de Chile,554
Avarua,583
Djibouti,585
Roseau,586
Quito,594
Cairo,608
San Salvador,645
Asmara,652
Pretoria,716
Addis Abeba,756
Stanley,763
Suva,764
Manila,766
Libreville,902
Banjul,904
Tbilisi,905
Accra,910
Basse-Terre,919
Ciudad de Guatemala,922
Conakry,926
Bissau,927
Georgetown,928
Tegucigalpa,933
Victoria,937
Longyearbyen,938
Jakarta,939
New Delhi,1109
Baghdad,1365
Teheran,1380
Dublin,1447
Jerusalem,1450
Roma,1464
Wien,1523
Kingston,1530
Tokyo,1532
Sanaa,1780
Amman,1786
Phnom Penh,1800
Ottawa,1822
Astana,1864
Nairobi,1881
Peking,1891
Bishkek,2253
Bairiki,2256
Moroni,2295
Brazzaville,2296
Kinshasa,2298
West Island,2317
Pyongyang,2318
Athenai,2401
La Habana,2413
Kuwait,2429
Nicosia,2430
Vientiane,2432
Riga,2434
Maseru,2437
Beirut,2438
Monrovia,2440
Tripoli,2441
Vaduz,2446
Vilnius,2447
Macao,2454
Skopje,2460
Lilongwe,2462
Male,2463
Kuala Lumpur,2464
Bamako,2482
Valletta,2484
Rabat,2486
Dalap-Uliga-Darrit,2507
Fort-de-France,2508
Nouakchott,2509
Port-Louis,2511
Mamoutzou,2514
Palikir,2689
Chisinau,2690
Ulan Bator,2696
Plymouth,2697
Maputo,2698
Rangoon (Yangon),2710
Windhoek,2726
Kathmandu,2729
Managua,2734
Niamey,2738
Abuja,2754
Oslo,2807
Yamoussoukro,2814
Masqat,2821
Islamabad,2831
Koror,2881
Port Moresby,2884
Lima,2890
Garapan,2913
San Juan,2919
Warszawa,2928
Malabo,2972
Doha,2973
Paris,2974
Cayenne,3014
Papeete,3016
Saint-Denis,3017
Bucuresti,3018
Kigali,3047
Stockholm,3048
Jamestown,3063
Basseterre,3064
Castries,3065
Kingstown,3066
Saint-Pierre,3067
Berlin,3068
Honiara,3161
Lusaka,3162
Apia,3169
San Marino,3171
Riyadh,3173
Dakar,3198
Victoria,3206
Freetown,3207
Bratislava,3209
Ljubljana,3212
Mogadishu,3214
Colombo,3217
Khartum,3225
Helsinki [Helsingfors],3236
Paramaribo,3243
Mbabane,3244
Bern,3248
Damascus,3250
Dushanbe,3261
Taipei,3263
Dodoma,3306
Bangkok,3320
Fakaofo,3333
Port-of-Spain,3336
Praha,3339
Tunis,3349
Ankara,3358
Ashgabat,3419
Cockburn Town,3423
Funafuti,3424
Kampala,3425
Budapest,3483
Wellington,3499
Toskent,3503
Mata-Utu,3536
Port-Vila,3537
Caracas,3539
Moscow,3580
Tallinn,3791
Washington,3813
Charlotte Amalie,4067
Harare,4068
Gaza,4074
Singapore,3208
Adamstown,2912
Alofi,2805
Kingston,2806
Yaren,2728
Monaco-Ville,2695
Gibraltar,915
The Valley,62
